name,rotation,shift_x,shift_y
100_37_-28_73.5740819358551,73.5740819358551,37,-28
100_-31_-41_159.39768076811896,159.39768076811896,-31,-41
100_24_-43_69.6227602492714,69.6227602492714,24,-43
100_31_-29_159.91502448975865,159.91502448975865,31,-29
100_15_-32_138.93270440077674,138.93270440077674,15,-32
100_11_-30_144.34553481817107,144.34553481817107,11,-30
100_-1_-42_155.34684842284133,155.34684842284133,-1,-42
100_-36_-48_49.24036551505395,49.24036551505395,-36,-48
100_-29_-45_129.93911281182363,129.93911281182363,-29,-45
100_28_-33_17.63448778329578,17.63448778329578,28,-33
102_-4_-47_125.03842796239292,125.03842796239292,-4,-47
102_-26_-34_131.62507301847958,131.62507301847958,-26,-34
102_-47_-34_119.21392394452117,119.21392394452117,-47,-34
102_-36_-28_0.5265845365944039,0.5265845365944039,-36,-28
102_27_-45_87.850186485475,87.850186485475,27,-45
102_-34_-46_27.798938761086042,27.798938761086042,-34,-46
102_-8_-47_116.29731256440547,116.29731256440547,-8,-47
102_24_-46_32.87658398598133,32.87658398598133,24,-46
102_25_-48_125.06358464325865,125.06358464325865,25,-48
102_-32_-45_14.277059833769714,14.277059833769714,-32,-45
104_23_-34_34.74363261712511,34.74363261712511,23,-34
104_-28_-28_75.69377319386024,75.69377319386024,-28,-28
104_45_-34_137.07832292480217,137.07832292480217,45,-34
104_25_-41_123.36690794818736,123.36690794818736,25,-41
104_-48_-28_165.94288093642297,165.94288093642297,-48,-28
104_-25_-29_18.866160716588958,18.866160716588958,-25,-29
104_-49_-49_109.93082957249858,109.93082957249858,-49,-49
104_20_-21_127.35770961430521,127.35770961430521,20,-21
104_-45_-39_165.63880923148707,165.63880923148707,-45,-39
104_-36_-43_123.0608244665139,123.0608244665139,-36,-43
106_9_-25_151.87274194799167,151.87274194799167,9,-25
106_-7_-24_42.90005120687911,42.90005120687911,-7,-24
106_0_-28_46.779701045527084,46.779701045527084,0,-28
106_22_-37_169.3049426206888,169.3049426206888,22,-37
106_14_-22_106.91331441523602,106.91331441523602,14,-22
106_-7_-24_131.43667708885246,131.43667708885246,-7,-24
106_-40_-42_176.93374207746308,176.93374207746308,-40,-42
106_41_-48_37.84076666065718,37.84076666065718,41,-48
106_-33_-30_112.58254401544332,112.58254401544332,-33,-30
106_-39_-37_124.90625172629406,124.90625172629406,-39,-37
108_1_-34_71.30707305386036,71.30707305386036,1,-34
108_-17_-43_41.887985211915456,41.887985211915456,-17,-43
108_-2_-26_45.1211419074291,45.1211419074291,-2,-26
108_37_-43_7.529298082147731,7.529298082147731,37,-43
108_-43_-17_159.56502181938643,159.56502181938643,-43,-17
108_-47_-35_159.59975795764566,159.59975795764566,-47,-35
108_35_-46_97.96750984216277,97.96750984216277,35,-46
108_14_-49_119.22131437371321,119.22131437371321,14,-49
108_38_-48_109.39702719392903,109.39702719392903,38,-48
108_42_-38_171.63839361814834,171.63839361814834,42,-38
110_30_-48_56.35755170475467,56.35755170475467,30,-48
110_-3_-28_134.0067739253734,134.0067739253734,-3,-28
110_-22_-44_67.03214466344093,67.03214466344093,-22,-44
110_45_-33_2.6191272680250073,2.6191272680250073,45,-33
110_-21_-24_136.52861311213616,136.52861311213616,-21,-24
110_-37_-41_59.942553507220396,59.942553507220396,-37,-41
110_24_-42_80.25693075587724,80.25693075587724,24,-42
110_-30_-42_177.79354523857344,177.79354523857344,-30,-42
110_17_-35_107.53127015337822,107.53127015337822,17,-35
110_30_-25_169.20646555563962,169.20646555563962,30,-25
112_21_-43_28.983173147207477,28.983173147207477,21,-43
112_-38_-25_48.74321582776285,48.74321582776285,-38,-25
112_-14_-49_165.48086022399457,165.48086022399457,-14,-49
112_15_-47_10.832800440242103,10.832800440242103,15,-47
112_-18_-29_84.38996033644193,84.38996033644193,-18,-29
112_-25_-17_25.88466039648634,25.88466039648634,-25,-17
112_-20_-48_175.2692453764781,175.2692453764781,-20,-48
112_4_-17_100.5324801119071,100.5324801119071,4,-17
112_-33_-25_85.01936506657442,85.01936506657442,-33,-25
112_1_-22_55.38815118394587,55.38815118394587,1,-22
114_31_-28_68.57864107266218,68.57864107266218,31,-28
114_38_-20_49.14906885016765,49.14906885016765,38,-20
114_6_-12_53.84272115611892,53.84272115611892,6,-12
114_-22_-31_83.85549609925926,83.85549609925926,-22,-31
114_-9_-11_142.6483969376902,142.6483969376902,-9,-11
114_-28_-31_42.6920560825043,42.6920560825043,-28,-31
114_9_-38_116.5203628276258,116.5203628276258,9,-38
114_-31_-26_159.89274105767248,159.89274105767248,-31,-26
114_-9_-14_171.79877122425685,171.79877122425685,-9,-14
114_-2_-25_162.3301546520546,162.3301546520546,-2,-25
116_-43_-34_159.31703911611777,159.31703911611777,-43,-34
116_3_-11_134.6573319570568,134.6573319570568,3,-11
116_32_-31_168.5721070519893,168.5721070519893,32,-31
116_35_-33_93.00010692254408,93.00010692254408,35,-33
116_-19_-24_155.36938188994657,155.36938188994657,-19,-24
116_-15_-43_11.488112113799865,11.488112113799865,-15,-43
116_0_-27_19.457044631108932,19.457044631108932,0,-27
116_-28_-21_45.46817585158404,45.46817585158404,-28,-21
116_41_-31_175.68027618343842,175.68027618343842,41,-31
116_45_-19_123.88174345815924,123.88174345815924,45,-19
118_15_-11_39.315537897879146,39.315537897879146,15,-11
118_-18_-30_22.160371364147363,22.160371364147363,-18,-30
118_-5_-37_103.47001216617616,103.47001216617616,-5,-37
118_34_-37_48.05533929182921,48.05533929182921,34,-37
118_40_-35_129.57699180485668,129.57699180485668,40,-35
118_-47_-39_99.01919766107962,99.01919766107962,-47,-39
118_-37_-16_173.6153563954308,173.6153563954308,-37,-16
118_1_-49_72.32610729461544,72.32610729461544,1,-49
118_-7_-29_38.74486115913333,38.74486115913333,-7,-29
118_-38_-34_114.31662138925184,114.31662138925184,-38,-34
120_-20_-17_132.66613661151425,132.66613661151425,-20,-17
120_15_-15_156.58975865515905,156.58975865515905,15,-15
120_-46_-9_96.84494190673435,96.84494190673435,-46,-9
120_12_-39_63.63398285961761,63.63398285961761,12,-39
120_44_-47_108.54671396890868,108.54671396890868,44,-47
120_35_-15_172.476882172477,172.476882172477,35,-15
120_32_-48_5.629069865743208,5.629069865743208,32,-48
120_-48_-11_11.794643431420548,11.794643431420548,-48,-11
120_-49_-37_117.36408055534929,117.36408055534929,-49,-37
120_21_-12_149.7565716071831,149.7565716071831,21,-12
