name,rotation,shift_x,shift_y
100_-20_12_154.46269713941257,154.46269713941257,-20,12
100_-9_25_149.57457756041262,149.57457756041262,-9,25
100_20_24_91.44533248012792,91.44533248012792,20,24
100_36_5_136.76910244014024,136.76910244014024,36,5
100_-27_34_59.9472922172507,59.9472922172507,-27,34
100_27_-11_43.444796228445,43.444796228445,27,-11
100_17_48_89.59024432634294,89.59024432634294,17,48
100_-25_-34_108.06189619623264,108.06189619623264,-25,-34
100_-7_29_119.08976208027035,119.08976208027035,-7,29
100_-34_6_122.90478644013646,122.90478644013646,-34,6
103_23_-39_142.36771603564446,142.36771603564446,23,-39
103_-32_15_168.75526710463623,168.75526710463623,-32,15
103_49_25_73.6268915707518,73.6268915707518,49,25
103_39_-31_33.986671048029315,33.986671048029315,39,-31
103_-15_-17_47.559131296828845,47.559131296828845,-15,-17
103_44_18_38.812159899175484,38.812159899175484,44,18
103_-16_-36_164.4104213836994,164.4104213836994,-16,-36
103_12_3_135.89839043104143,135.89839043104143,12,3
103_6_-1_60.86312014461225,60.86312014461225,6,-1
103_-40_-17_119.06248766561032,119.06248766561032,-40,-17
106_34_5_106.40207089439045,106.40207089439045,34,5
106_-3_29_162.8926550353073,162.8926550353073,-3,29
106_-40_-38_80.79319476004694,80.79319476004694,-40,-38
106_3_38_144.84421216080554,144.84421216080554,3,38
106_6_35_84.99592606589135,84.99592606589135,6,35
106_-12_-20_110.26563338202986,110.26563338202986,-12,-20
106_12_-26_64.80466331710915,64.80466331710915,12,-26
106_-31_40_34.849698475916654,34.849698475916654,-31,40
106_28_-33_120.60927769159541,120.60927769159541,28,-33
106_21_8_133.89984005365105,133.89984005365105,21,8
109_-24_34_78.70293471919531,78.70293471919531,-24,34
109_-45_-46_122.54270234643903,122.54270234643903,-45,-46
109_37_-7_17.256853502246,17.256853502246,37,-7
109_14_25_137.00580727899117,137.00580727899117,14,25
109_41_4_133.4814122078134,133.4814122078134,41,4
109_-21_-17_43.09458019207082,43.09458019207082,-21,-17
109_-3_2_78.55470991317578,78.55470991317578,-3,2
109_-40_23_39.739270625798625,39.739270625798625,-40,23
109_-48_-2_8.216327592629876,8.216327592629876,-48,-2
109_-23_-21_159.64709093309827,159.64709093309827,-23,-21
112_47_-48_66.13170029863139,66.13170029863139,47,-48
112_4_-38_29.324372862896464,29.324372862896464,4,-38
112_-7_17_110.21974698356296,110.21974698356296,-7,17
112_25_46_129.42861561813146,129.42861561813146,25,46
112_-21_30_13.593639271412416,13.593639271412416,-21,30
112_32_1_136.89673988343387,136.89673988343387,32,1
112_15_-44_177.9934700252998,177.9934700252998,15,-44
112_4_-33_160.38641948375493,160.38641948375493,4,-33
112_0_39_6.284524060726107,6.284524060726107,0,39
112_-10_34_49.337205609440694,49.337205609440694,-10,34
115_-38_40_82.11365685254435,82.11365685254435,-38,40
115_4_33_50.379135323161634,50.379135323161634,4,33
115_25_-18_64.31701793602228,64.31701793602228,25,-18
115_-49_4_107.33749248238865,107.33749248238865,-49,4
115_45_42_56.201085918203006,56.201085918203006,45,42
115_-26_-20_21.74537282512584,21.74537282512584,-26,-20
115_-24_49_78.30244184375844,78.30244184375844,-24,49
115_-14_2_149.59374584827071,149.59374584827071,-14,2
115_-18_-46_40.471078807855456,40.471078807855456,-18,-46
115_-21_-24_47.146534831512064,47.146534831512064,-21,-24
118_0_-27_145.433995260525,145.433995260525,0,-27
118_-15_-2_30.665233921797622,30.665233921797622,-15,-2
118_-38_-40_75.07155565294936,75.07155565294936,-38,-40
118_20_-1_115.90541279950551,115.90541279950551,20,-1
118_-21_-11_70.12842277509802,70.12842277509802,-21,-11
118_44_-24_171.862830097428,171.862830097428,44,-24
118_-5_29_48.97245585585204,48.97245585585204,-5,29
118_-22_31_38.40764250756947,38.40764250756947,-22,31
118_0_26_17.109971888825825,17.109971888825825,0,26
118_-7_22_49.671136171263655,49.671136171263655,-7,22
121_-18_-34_35.952905583786375,35.952905583786375,-18,-34
121_21_-8_103.41059665416077,103.41059665416077,21,-8
121_46_-42_163.0273913300378,163.0273913300378,46,-42
121_-41_-11_31.821577543657874,31.821577543657874,-41,-11
121_-6_24_121.13427878856757,121.13427878856757,-6,24
121_48_-35_8.74867946678213,8.74867946678213,48,-35
121_-11_31_138.25065356764472,138.25065356764472,-11,31
121_-2_-10_139.33368743947074,139.33368743947074,-2,-10
121_2_-41_155.68963053319243,155.68963053319243,2,-41
121_-14_35_76.82587301943771,76.82587301943771,-14,35
124_-40_50_84.15679017787035,84.15679017787035,-40,50
124_24_32_63.819579087137484,63.819579087137484,24,32
124_31_-38_74.83527740106437,74.83527740106437,31,-38
124_14_-14_133.47086143582007,133.47086143582007,14,-14
124_-47_-35_72.80874045765668,72.80874045765668,-47,-35
124_-39_-49_146.19063839367388,146.19063839367388,-39,-49
124_-22_42_99.85321737496484,99.85321737496484,-22,42
124_11_9_163.209315235276,163.209315235276,11,9
124_-14_42_126.25615619049935,126.25615619049935,-14,42
124_24_-1_141.9617375155781,141.9617375155781,24,-1
127_29_9_144.3627608671157,144.3627608671157,29,9
127_-27_31_121.82600710596282,121.82600710596282,-27,31
127_-29_-18_35.73805141086919,35.73805141086919,-29,-18
127_50_50_123.49425211617304,123.49425211617304,50,50
127_24_-20_102.13813602127593,102.13813602127593,24,-20
127_24_45_148.76310837483004,148.76310837483004,24,45
127_-23_-19_94.14619955016613,94.14619955016613,-23,-19
127_3_41_160.2831794147312,160.2831794147312,3,41
127_-17_16_43.45963202534549,43.45963202534549,-17,16
127_-8_24_154.9697556067948,154.9697556067948,-8,24
130_-39_-14_7.782118210412072,7.782118210412072,-39,-14
130_-25_45_89.84702321427883,89.84702321427883,-25,45
130_30_-44_8.635735558607978,8.635735558607978,30,-44
130_0_17_94.55830044870841,94.55830044870841,0,17
130_3_-6_55.832026497610634,55.832026497610634,3,-6
130_-39_-13_69.05544604314883,69.05544604314883,-39,-13
130_8_36_12.434893881122154,12.434893881122154,8,36
130_-47_25_170.43602640014495,170.43602640014495,-47,25
130_-34_15_2.799591896377073,2.799591896377073,-34,15
130_16_-37_34.6859869618659,34.6859869618659,16,-37
133_-37_-27_24.79548512167983,24.79548512167983,-37,-27
133_-12_-42_125.43216160209909,125.43216160209909,-12,-42
133_30_9_91.07515392861279,91.07515392861279,30,9
133_35_47_104.46416739234266,104.46416739234266,35,47
133_50_26_27.15397405096467,27.15397405096467,50,26
133_9_30_40.5124165440611,40.5124165440611,9,30
133_46_45_126.91136759879444,126.91136759879444,46,45
133_-35_-49_46.39561148474772,46.39561148474772,-35,-49
133_-14_-6_121.1861774442121,121.1861774442121,-14,-6
133_-11_-33_160.32970736169008,160.32970736169008,-11,-33
136_48_48_49.58763818970511,49.58763818970511,48,48
136_16_19_158.1846684051883,158.1846684051883,16,19
136_1_37_154.93274301808128,154.93274301808128,1,37
136_-40_-47_135.5425902519038,135.5425902519038,-40,-47
136_34_36_45.89354883208684,45.89354883208684,34,36
136_-22_-19_77.0124600657019,77.0124600657019,-22,-19
