name,rotation,shift_x,shift_y
264_44_-14_97.16915918694194,97.16915918694194,44,-14
264_5_-37_167.3636727773483,167.3636727773483,5,-37
264_22_0_90.21014308282636,90.21014308282636,22,0
264_34_-41_46.45045383349414,46.45045383349414,34,-41
264_-24_0_162.5011411525217,162.5011411525217,-24,0
264_-14_-48_90.37046967549966,90.37046967549966,-14,-48
264_-48_-15_130.14383626711384,130.14383626711384,-48,-15
264_22_-49_87.67478851082379,87.67478851082379,22,-49
264_-49_-24_120.20717293076487,120.20717293076487,-49,-24
264_25_-36_69.61811374371997,69.61811374371997,25,-36
267_46_-45_52.06157675676244,52.06157675676244,46,-45
267_18_6_24.470208890000507,24.470208890000507,18,6
267_-30_-25_84.48689476845222,84.48689476845222,-30,-25
267_-15_9_60.24769557068408,60.24769557068408,-15,9
267_44_-4_100.24097055995486,100.24097055995486,44,-4
267_-44_-39_44.83012058863314,44.83012058863314,-44,-39
267_28_-17_153.6789400703417,153.6789400703417,28,-17
267_-1_-11_131.48217923158512,131.48217923158512,-1,-11
267_30_-35_92.66476440666305,92.66476440666305,30,-35
267_8_7_0.7141583824699498,0.7141583824699498,8,7
270_30_8_39.86996362461364,39.86996362461364,30,8
270_50_-3_146.34625665447024,146.34625665447024,50,-3
270_-32_-1_127.21358644491562,127.21358644491562,-32,-1
270_47_-47_109.41381344076531,109.41381344076531,47,-47
270_-18_-8_49.09653826863796,49.09653826863796,-18,-8
270_-22_-11_126.86839808733498,126.86839808733498,-22,-11
270_11_-44_143.96592679078412,143.96592679078412,11,-44
270_2_-40_19.75258745301625,19.75258745301625,2,-40
270_-45_5_59.424331573543896,59.424331573543896,-45,5
270_30_-12_166.79776235292294,166.79776235292294,30,-12
273_12_-3_124.96518844087151,124.96518844087151,12,-3
273_-27_-12_65.36323748907924,65.36323748907924,-27,-12
273_29_-20_56.16489138186926,56.16489138186926,29,-20
273_-5_-26_17.779201168924775,17.779201168924775,-5,-26
273_-40_-35_58.68817918447074,58.68817918447074,-40,-35
273_-25_-21_71.41162711075032,71.41162711075032,-25,-21
273_18_-8_120.37723204907361,120.37723204907361,18,-8
273_50_9_43.070488866451925,43.070488866451925,50,9
273_-47_-19_123.64064256700013,123.64064256700013,-47,-19
273_35_-23_17.12893700720683,17.12893700720683,35,-23
276_-41_-6_82.8116506739774,82.8116506739774,-41,-6
276_7_-46_37.641341600441365,37.641341600441365,7,-46
276_-32_-9_96.47598960833098,96.47598960833098,-32,-9
276_22_4_34.17418083327915,34.17418083327915,22,4
276_4_-27_2.157383173190661,2.157383173190661,4,-27
276_-7_-49_38.774294764678075,38.774294764678075,-7,-49
276_-35_-40_17.616373019089007,17.616373019089007,-35,-40
276_31_-26_28.11578342355451,28.11578342355451,31,-26
276_-47_-45_128.10618691067148,128.10618691067148,-47,-45
276_-42_-42_138.7840825469782,138.7840825469782,-42,-42
279_-44_14_20.275349075469514,20.275349075469514,-44,14
279_26_18_167.60336469356676,167.60336469356676,26,18
279_-18_-24_26.96043615054666,26.96043615054666,-18,-24
279_-21_-4_7.654822747184208,7.654822747184208,-21,-4
279_-45_-12_124.11675092718662,124.11675092718662,-45,-12
279_21_3_68.94778797902853,68.94778797902853,21,3
279_-12_-8_41.312734276023036,41.312734276023036,-12,-8
279_-8_-8_61.297037918278484,61.297037918278484,-8,-8
279_50_3_105.22886828764578,105.22886828764578,50,3
279_-18_-11_9.489311521625357,9.489311521625357,-18,-11
282_-31_-34_155.8396033316813,155.8396033316813,-31,-34
282_18_7_47.64141490387067,47.64141490387067,18,7
282_10_-32_117.81450418002358,117.81450418002358,10,-32
282_12_-38_137.03813254139388,137.03813254139388,12,-38
282_-10_-16_25.758758007671254,25.758758007671254,-10,-16
282_-15_0_18.355059784231003,18.355059784231003,-15,0
282_-21_-23_115.20024869639448,115.20024869639448,-21,-23
282_-8_11_107.97657804131445,107.97657804131445,-8,11
282_-11_-35_125.84224709308796,125.84224709308796,-11,-35
282_2_-13_40.143303248704036,40.143303248704036,2,-13
285_-2_7_61.97487791987689,61.97487791987689,-2,7
285_21_11_120.43559550766712,120.43559550766712,21,11
285_41_21_99.27185110041266,99.27185110041266,41,21
285_6_-39_97.97906976528472,97.97906976528472,6,-39
285_-8_19_47.51664352468956,47.51664352468956,-8,19
285_-30_-25_79.70077248972005,79.70077248972005,-30,-25
285_-10_12_153.3917523185575,153.3917523185575,-10,12
285_-12_-11_92.15515610017562,92.15515610017562,-12,-11
285_12_-34_124.68023324884803,124.68023324884803,12,-34
285_-30_-7_4.320383865610586,4.320383865610586,-30,-7
288_-30_-48_145.09580851411786,145.09580851411786,-30,-48
288_25_10_56.989424445679404,56.989424445679404,25,10
288_-40_8_44.087050113137465,44.087050113137465,-40,8
288_-29_23_7.866114747458928,7.866114747458928,-29,23
288_-34_-19_14.952429473623006,14.952429473623006,-34,-19
288_10_-1_54.6263456219971,54.6263456219971,10,-1
288_27_-1_4.750148121294492,4.750148121294492,27,-1
288_15_-4_121.80565014168542,121.80565014168542,15,-4
288_40_21_66.56450847040924,66.56450847040924,40,21
288_44_-8_156.59886414514142,156.59886414514142,44,-8
291_-11_18_53.15495052824168,53.15495052824168,-11,18
291_-44_-2_155.48195197679587,155.48195197679587,-44,-2
291_10_-33_159.35688514281136,159.35688514281136,10,-33
291_-6_-35_41.12303891797867,41.12303891797867,-6,-35
291_-15_-31_167.60264867626648,167.60264867626648,-15,-31
291_-12_6_160.88468552332768,160.88468552332768,-12,6
291_1_-12_57.74549404172395,57.74549404172395,1,-12
291_46_-10_114.68090750059176,114.68090750059176,46,-10
291_11_-46_71.66547293259752,71.66547293259752,11,-46
291_-22_26_152.55418579856885,152.55418579856885,-22,26
294_22_-4_75.13122199801589,75.13122199801589,22,-4
294_37_27_63.18514175078582,63.18514175078582,37,27
294_37_-37_80.3402038387575,80.3402038387575,37,-37
294_-3_2_57.4991076976245,57.4991076976245,-3,2
294_-39_-14_83.24294410608509,83.24294410608509,-39,-14
294_-23_-31_110.48855964993213,110.48855964993213,-23,-31
294_-40_-31_110.5892155373784,110.5892155373784,-40,-31
294_-39_-28_108.85641908526551,108.85641908526551,-39,-28
294_48_-21_166.4386998689947,166.4386998689947,48,-21
294_21_25_106.39345476667665,106.39345476667665,21,25
297_-27_-31_61.50615537977415,61.50615537977415,-27,-31
297_-25_-25_16.67967911988427,16.67967911988427,-25,-25
297_28_10_160.92331032109314,160.92331032109314,28,10
297_-9_-1_11.058897755048523,11.058897755048523,-9,-1
297_-41_17_86.5233749820286,86.5233749820286,-41,17
297_-45_21_171.0941309042626,171.0941309042626,-45,21
297_45_9_82.54230989924127,82.54230989924127,45,9
297_-35_-19_118.01310122251435,118.01310122251435,-35,-19
297_-31_2_72.8655841200772,72.8655841200772,-31,2
297_20_-23_79.66115308178185,79.66115308178185,20,-23
300_-24_-14_161.3150759269457,161.3150759269457,-24,-14
300_4_4_157.54865675294226,157.54865675294226,4,4
300_12_-14_110.25627460119047,110.25627460119047,12,-14
300_43_8_35.057450649849294,35.057450649849294,43,8
300_-31_13_64.09824211431263,64.09824211431263,-31,13
300_48_7_114.5360705834986,114.5360705834986,48,7
300_1_-30_176.0821370765826,176.0821370765826,1,-30
300_-20_-31_67.73485147788561,67.73485147788561,-20,-31
300_-18_-10_108.03719845865245,108.03719845865245,-18,-10
300_7_-20_24.767551927548293,24.767551927548293,7,-20
303_22_-25_114.65784189410648,114.65784189410648,22,-25
303_-10_-44_2.5489139768341107,2.5489139768341107,-10,-44
303_-10_29_133.70197916799492,133.70197916799492,-10,29
303_13_8_122.63945094743697,122.63945094743697,13,8
303_-24_-3_52.33465007973578,52.33465007973578,-24,-3
303_24_-8_67.48416121122672,67.48416121122672,24,-8
303_21_-37_97.28879847555572,97.28879847555572,21,-37
303_35_9_81.34479875548493,81.34479875548493,35,9
303_-33_-44_41.65442162803204,41.65442162803204,-33,-44
303_1_30_58.28471466630367,58.28471466630367,1,30
306_37_21_18.621755552890257,18.621755552890257,37,21
306_-49_28_63.27759858691578,63.27759858691578,-49,28
306_-36_-32_88.89843321773668,88.89843321773668,-36,-32
306_-42_-36_152.59034763412177,152.59034763412177,-42,-36
306_-43_-33_162.91664326991565,162.91664326991565,-43,-33
306_-45_-24_123.37297638453998,123.37297638453998,-45,-24
306_37_35_137.4026135730453,137.4026135730453,37,35
306_21_-14_16.399299871519432,16.399299871519432,21,-14
306_14_29_22.23621999146946,22.23621999146946,14,29
306_13_28_62.79083017022136,62.79083017022136,13,28
309_32_12_2.269524609398534,2.269524609398534,32,12
309_-20_2_131.06752534025767,131.06752534025767,-20,2
309_-12_9_20.905022023757034,20.905022023757034,-12,9
309_-19_34_112.01619482378585,112.01619482378585,-19,34
309_-23_-13_163.28485935900818,163.28485935900818,-23,-13
309_-5_-4_22.6869283988976,22.6869283988976,-5,-4
309_2_-29_136.730828136279,136.730828136279,2,-29
309_-4_38_46.752239887998186,46.752239887998186,-4,38
309_-18_-19_62.390522067430496,62.390522067430496,-18,-19
309_-36_39_147.52797711257747,147.52797711257747,-36,39
