name,rotation,shift_x,shift_y
40_-48_40_107.97341794353316,107.97341794353316,-48,40
40_9_-2_112.86166094415088,112.86166094415088,9,-2
40_-20_14_46.47943549448073,46.47943549448073,-20,14
40_-40_43_86.77355161538405,86.77355161538405,-40,43
40_-6_-3_46.067407589349834,46.067407589349834,-6,-3
40_32_9_5.918202353705429,5.918202353705429,32,9
40_-38_11_84.7358329303995,84.7358329303995,-38,11
40_23_22_10.671395892606961,10.671395892606961,23,22
40_33_-38_167.39484855660038,167.39484855660038,33,-38
40_8_-46_170.5896553663103,170.5896553663103,8,-46
40_13_-8_109.91974398738242,109.91974398738242,13,-8
40_-27_43_75.65382981703445,75.65382981703445,-27,43
40_33_47_115.37525868925366,115.37525868925366,33,47
40_-19_7_146.34472985886165,146.34472985886165,-19,7
40_-11_-27_177.56334566256032,177.56334566256032,-11,-27
40_36_46_76.19929988941195,76.19929988941195,36,46
40_-46_39_17.738873349768795,17.738873349768795,-46,39
40_-36_-23_149.32155222805085,149.32155222805085,-36,-23
40_-31_8_105.05950129022861,105.05950129022861,-31,8
40_-34_-4_91.84911657376573,91.84911657376573,-34,-4
42_42_39_49.46512566976773,49.46512566976773,42,39
42_-1_-1_63.297969857247985,63.297969857247985,-1,-1
42_-13_18_24.3393015903818,24.3393015903818,-13,18
42_-18_26_86.1091460937994,86.1091460937994,-18,26
42_42_-43_134.95533028029885,134.95533028029885,42,-43
42_30_32_113.3934077223513,113.3934077223513,30,32
42_-14_46_123.45110981395578,123.45110981395578,-14,46
42_37_24_87.61826713122947,87.61826713122947,37,24
42_-39_41_6.644094710252242,6.644094710252242,-39,41
42_23_-38_120.5736537619698,120.5736537619698,23,-38
42_-34_-4_28.082808516193218,28.082808516193218,-34,-4
42_-43_49_138.00064431056185,138.00064431056185,-43,49
42_-4_7_120.81041996159816,120.81041996159816,-4,7
42_-8_-19_38.33484397574981,38.33484397574981,-8,-19
42_50_7_128.48105018523225,128.48105018523225,50,7
42_-31_-35_10.173888054695135,10.173888054695135,-31,-35
42_-43_37_24.56948731862198,24.56948731862198,-43,37
42_-31_-40_148.90113399085732,148.90113399085732,-31,-40
42_48_-10_161.22118292551983,161.22118292551983,48,-10
42_33_-44_39.624386385115464,39.624386385115464,33,-44
44_10_17_176.40185932184824,176.40185932184824,10,17
44_15_14_91.75710720571811,91.75710720571811,15,14
44_-17_34_100.85669687439199,100.85669687439199,-17,34
44_30_-4_149.74711113281128,149.74711113281128,30,-4
44_-24_42_105.07887403503173,105.07887403503173,-24,42
44_26_-49_134.70773194473924,134.70773194473924,26,-49
44_-42_45_96.07899340886335,96.07899340886335,-42,45
44_6_11_117.8257769405968,117.8257769405968,6,11
44_-44_-36_63.49865836179236,63.49865836179236,-44,-36
44_-5_30_144.19681418453402,144.19681418453402,-5,30
44_-21_20_127.62295777047255,127.62295777047255,-21,20
44_-2_2_106.58462127125458,106.58462127125458,-2,2
44_18_-28_3.229315240231552,3.229315240231552,18,-28
44_13_16_96.40179685981163,96.40179685981163,13,16
44_7_-16_76.97124827606537,76.97124827606537,7,-16
44_-13_31_35.81074094689784,35.81074094689784,-13,31
44_33_10_18.462122538087225,18.462122538087225,33,10
44_19_-33_132.59569529466006,132.59569529466006,19,-33
44_11_39_107.55247797180344,107.55247797180344,11,39
44_40_-1_69.20636375669929,69.20636375669929,40,-1
46_9_-43_67.31954048761298,67.31954048761298,9,-43
46_17_-15_169.21950846499968,169.21950846499968,17,-15
46_8_-12_95.12921137072905,95.12921137072905,8,-12
46_32_-25_8.08320438653832,8.08320438653832,32,-25
46_22_22_62.16370664987778,62.16370664987778,22,22
46_-16_-7_29.220586442577815,29.220586442577815,-16,-7
46_18_26_59.92130584220503,59.92130584220503,18,26
46_46_-20_58.101000654523844,58.101000654523844,46,-20
46_-18_31_41.34827302050249,41.34827302050249,-18,31
46_36_10_68.6838152453378,68.6838152453378,36,10
46_45_9_145.63846966760735,145.63846966760735,45,9
46_-37_15_45.11738542321757,45.11738542321757,-37,15
46_28_48_19.43315380504312,19.43315380504312,28,48
46_-43_30_55.13499171059523,55.13499171059523,-43,30
46_-38_13_41.23820693176509,41.23820693176509,-38,13
46_26_33_166.49771208859588,166.49771208859588,26,33
46_-38_21_61.817957655143864,61.817957655143864,-38,21
46_23_3_148.18054882836253,148.18054882836253,23,3
46_-36_21_49.7806009359363,49.7806009359363,-36,21
46_36_30_109.59736775834163,109.59736775834163,36,30
48_49_-30_2.7819923800177424,2.7819923800177424,49,-30
48_2_-20_94.64656974062052,94.64656974062052,2,-20
48_4_-25_162.12628553316392,162.12628553316392,4,-25
48_34_34_79.65110127693814,79.65110127693814,34,34
48_3_17_110.72825540223535,110.72825540223535,3,17
48_1_-17_106.35914576583984,106.35914576583984,1,-17
48_45_15_15.3521074576193,15.3521074576193,45,15
48_41_-49_172.0578474180527,172.0578474180527,41,-49
48_-37_4_47.13715880640587,47.13715880640587,-37,4
48_-27_-27_59.62379419638897,59.62379419638897,-27,-27
48_30_18_66.57607216817668,66.57607216817668,30,18
48_39_50_66.87031082881676,66.87031082881676,39,50
48_-33_47_6.303734028741403,6.303734028741403,-33,47
