name,rotation,shift_x,shift_y
40_-10_48_64.84224733310707,64.84224733310707,-10,48
40_10_45_87.0789580702446,87.0789580702446,10,45
40_-27_40_61.16019687386091,61.16019687386091,-27,40
40_-45_1_11.005214994014626,11.005214994014626,-45,1
40_47_-18_123.20976905125056,123.20976905125056,47,-18
40_-29_43_38.49243518770851,38.49243518770851,-29,43
40_13_8_129.1048893248281,129.1048893248281,13,8
40_-12_30_93.7469011821467,93.7469011821467,-12,30
40_-36_-49_126.1911097544925,126.1911097544925,-36,-49
40_6_25_61.725960289179724,61.725960289179724,6,25
40_36_-9_51.609275096949354,51.609275096949354,36,-9
40_12_-3_89.37389669247902,89.37389669247902,12,-3
40_-2_-45_156.20375448188807,156.20375448188807,-2,-45
40_-8_-35_93.44013214492931,93.44013214492931,-8,-35
40_-14_38_93.29559177498318,93.29559177498318,-14,38
40_46_12_59.99118131767214,59.99118131767214,46,12
40_-48_-15_20.77693409718691,20.77693409718691,-48,-15
40_-46_-17_143.60205797368639,143.60205797368639,-46,-17
40_-13_19_13.89948248505231,13.89948248505231,-13,19
40_-45_26_3.716000550761385,3.716000550761385,-45,26
42_36_33_48.61868901279961,48.61868901279961,36,33
42_31_-24_175.28784359967668,175.28784359967668,31,-24
42_26_3_37.346528348726494,37.346528348726494,26,3
42_-45_20_84.531636172523,84.531636172523,-45,20
42_-49_-14_43.99776210571203,43.99776210571203,-49,-14
42_-48_-35_175.04629362143416,175.04629362143416,-48,-35
42_13_-41_100.17664104055174,100.17664104055174,13,-41
42_-6_-31_15.303244421674092,15.303244421674092,-6,-31
42_22_-38_78.91030706760095,78.91030706760095,22,-38
42_16_-33_16.50451097359942,16.50451097359942,16,-33
42_-9_36_162.59462451040528,162.59462451040528,-9,36
42_-40_15_157.74010778950637,157.74010778950637,-40,15
42_42_-21_80.59853400401454,80.59853400401454,42,-21
42_0_43_6.338561929679578,6.338561929679578,0,43
42_48_49_89.65482370096058,89.65482370096058,48,49
42_-5_29_31.856860768941445,31.856860768941445,-5,29
42_38_25_83.35480914026046,83.35480914026046,38,25
42_42_-45_162.66505317721385,162.66505317721385,42,-45
42_48_34_138.6924765093052,138.6924765093052,48,34
42_-17_2_2.6017807123507244,2.6017807123507244,-17,2
44_-11_9_100.31609748843302,100.31609748843302,-11,9
44_-32_-45_129.84323910892283,129.84323910892283,-32,-45
44_-29_-39_3.8572874701606183,3.8572874701606183,-29,-39
44_14_-41_149.82922678360157,149.82922678360157,14,-41
44_20_2_61.75394983849954,61.75394983849954,20,2
44_7_-10_174.85633966927477,174.85633966927477,7,-10
44_-17_34_55.8028191556523,55.8028191556523,-17,34
44_-33_31_15.423471823907283,15.423471823907283,-33,31
44_7_42_69.32900538847869,69.32900538847869,7,42
44_-5_24_75.71950984414282,75.71950984414282,-5,24
44_-22_-30_59.18995564858299,59.18995564858299,-22,-30
44_0_-25_46.55206329856085,46.55206329856085,0,-25
44_8_28_41.74138396341092,41.74138396341092,8,28
44_-18_-5_84.02684693704794,84.02684693704794,-18,-5
44_-33_-20_91.83316787466971,91.83316787466971,-33,-20
44_-2_13_41.459070533998,41.459070533998,-2,13
44_-17_0_59.01875780551928,59.01875780551928,-17,0
44_6_-19_55.376396223206406,55.376396223206406,6,-19
44_32_-24_177.21565153960427,177.21565153960427,32,-24
44_33_-28_143.14516393504445,143.14516393504445,33,-28
46_-9_47_87.61299281561213,87.61299281561213,-9,47
46_-31_-41_141.1712022352539,141.1712022352539,-31,-41
